continent_code,continent_name,country_code,country_name,year,avg_air_pollution_PM2-5_in_2019,avg_air_pollution_PM2-5_low,avg_air_pollution_PM2-5_hi
AMR,Americas,GRD,Grenada,2019,10.08,7.07,13.2
AMR,Americas,TTO,Trinidad and Tobago,2019,10.26,7.93,12.59
EUR,Europe,LTU,Lithuania,2019,10.37,9.29,11.22
EUR,Europe,FRA,France,2019,10.46,10.27,10.65
AFR,Africa,MUS,Mauritius,2019,10.48,8.25,12.84
AMR,Americas,BLZ,Belize,2019,10.51,4.33,20.5
EUR,Europe,DEU,Germany,2019,10.73,10.56,10.93
EUR,Europe,NLD,Netherlands,2019,10.74,10.39,11.13
WPR,Western Pacific,JPN,Japan,2019,10.84,10.02,11.55
AMR,Americas,BRA,Brazil,2019,10.94,9.37,13.01
AMR,Americas,GUY,Guyana,2019,11.11,5.71,18.35
EUR,Europe,BEL,Belgium,2019,11.26,10.87,11.62
EUR,Europe,AUT,Austria,2019,11.51,11.2,11.88
AMR,Americas,PAN,Panama,2019,11.78,8.46,15.13
AFR,Africa,NAM,Namibia,2019,11.81,6.32,18.88
EUR,Europe,LVA,Latvia,2019,12.02,10.69,13.42
AMR,Americas,ARG,Argentina,2019,12.04,8.92,15.57
AMR,Americas,SUR,Suriname,2019,12.17,6.81,18.69
AMR,Americas,PRY,Paraguay,2019,12.31,9.32,17.95
EUR,Europe,MDA,Republic of Moldova,2019,12.37,9.11,15.99
AFR,Africa,KEN,Kenya,2019,12.52,7.8,17.78
AFR,Africa,BWA,Botswana,2019,12.82,9.27,18.78
EUR,Europe,MLT,Malta,2019,12.93,11.84,14.32
SEAR,South-East Asia,MDV,Maldives,2019,13.0,10.33,16.7
AFR,Africa,ZWE,Zimbabwe,2019,13.08,7.05,22.7
EUR,Europe,ROU,Romania,2019,13.3,12.55,14.1
AMR,Americas,CUB,Cuba,2019,13.32,9.73,19.28
WPR,Western Pacific,SGP,Singapore,2019,13.33,10.54,17.56
EMR,Eastern Mediterranean,MAR,Morocco,2019,13.44,11.03,16.52
EUR,Europe,UKR,Ukraine,2019,13.51,10.05,18.45
AMR,Americas,COL,Colombia,2019,14.04,11.7,16.76
EUR,Europe,SVN,Slovenia,2019,14.08,13.36,14.9
EUR,Europe,ITA,Italy,2019,14.22,13.99,14.44
EUR,Europe,HUN,Hungary,2019,14.24,13.4,15.11
EMR,Eastern Mediterranean,SOM,Somalia,2019,14.28,7.65,24.25
EUR,Europe,CZE,Czechia,2019,14.34,13.96,14.79
AFR,Africa,COM,Comoros,2019,14.37,7.4,23.58
EUR,Europe,CYP,Cyprus,2019,14.52,12.86,16.16
EUR,Europe,GRC,Greece,2019,14.62,13.51,15.76
AMR,Americas,CRI,Costa Rica,2019,14.7,12.73,17.14
AMR,Americas,JAM,Jamaica,2019,14.83,12.5,17.46
AFR,Africa,SWZ,Eswatini,2019,15.07,10.56,20.01
EUR,Europe,HRV,Croatia,2019,15.29,14.16,16.51
AFR,Africa,TZA,United Republic of Tanzania,2019,15.36,10.79,22.53
EUR,Europe,BLR,Belarus,2019,15.48,13.25,17.71
EUR,Europe,SVK,Slovakia,2019,15.89,15.15,16.69
AMR,Americas,NIC,Nicaragua,2019,16.0,10.98,21.96
AFR,Africa,MDG,Madagascar,2019,16.02,11.16,23.84
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,16.21,11.55,21.76
EUR,Europe,ALB,Albania,2019,16.28,14.73,18.21
AFR,Africa,MOZ,Mozambique,2019,16.45,8.55,26.26
AMR,Americas,ECU,Ecuador,2019,16.55,13.18,20.05
AFR,Africa,ZMB,Zambia,2019,16.9,7.65,31.61
AFR,Africa,SYC,Seychelles,2019,16.96,12.23,23.37
EUR,Europe,BGR,Bulgaria,2019,17.29,16.54,18.21
AFR,Africa,LSO,Lesotho,2019,17.6,12.13,26.64
WPR,Western Pacific,KHM,Cambodia,2019,17.8,16.09,19.5
AMR,Americas,MEX,Mexico,2019,17.83,16.33,19.65
AFR,Africa,MWI,Malawi,2019,18.57,6.2,37.49
EUR,Europe,POL,Poland,2019,18.83,18.4,19.2
AMR,Americas,HND,Honduras,2019,18.93,13.48,25.56
EUR,Europe,GEO,Georgia,2019,19.06,14.48,23.86
EUR,Europe,MNE,Montenegro,2019,19.3,17.34,22.2
SEAR,South-East Asia,IDN,Indonesia,2019,19.34,16.76,23.72
EUR,Europe,ISR,Israel,2019,19.47,18.17,20.74
AFR,Africa,ZAF,South Africa,2019,19.75,18.26,21.8
EMR,Eastern Mediterranean,DJI,Djibouti,2019,19.98,7.7,41.73
AFR,Africa,SSD,South Sudan,2019,20.18,10.45,34.95
SEAR,South-East Asia,TLS,Timor-Leste,2019,20.47,9.02,42.19
AMR,Americas,CHL,Chile,2019,20.49,19.31,21.89
AMR,Americas,GTM,Guatemala,2019,20.75,16.18,26.65
WPR,Western Pacific,VNM,Viet Nam,2019,20.89,16.58,24.31
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2019,21.15,16.86,25.13
EMR,Eastern Mediterranean,SDN,Sudan,2019,21.43,11.01,38.91
WPR,Western Pacific,MYS,Malaysia,2019,21.52,20.55,22.8
EUR,Europe,SRB,Serbia,2019,21.74,20.2,23.14
AFR,Africa,ETH,Ethiopia,2019,21.8,13.02,32.47
AMR,Americas,SLV,El Salvador,2019,22.15,14.49,31.82
WPR,Western Pacific,PHL,Philippines,2019,22.45,19.16,25.91
AFR,Africa,DZA,Algeria,2019,22.68,14.54,35.29
AFR,Africa,ERI,Eritrea,2019,22.74,9.19,50.66
EUR,Europe,TUR,Türkiye,2019,23.25,21.83,24.55
SEAR,South-East Asia,LKA,Sri Lanka,2019,23.88,17.38,31.79
