iso2,country_name,population_density
🇲🇨,Monaco,26145.30200
🇲🇴,"China, Macao SAR",22309.7344
🇸🇬,Singapore,8475.9729
🇭🇰,"China, Hong Kong SAR",6772.2789
🇬🇮,Gibraltar,3847.05
🇧🇭,Bahrain,2004.6814
🇲🇻,Maldives,1753.3133
🇲🇹,Malta,1691.9238
🇧🇩,Bangladesh,1317.2543
🇸🇽,Sint Maarten,1257.3235
🇧🇲,Bermuda,1198.1111
🇻🇦,Holy See,1126.1364
🇬🇬,Guernsey,1000.2656
🇵🇸,State of Palestine,898.5385
🇯🇪,Jersey,893.7457
🇾🇹,Mayotte,842.708000
🇹🇼,Taiwan,658.4904
🇧🇧,Barbados,656.5953
🇲🇺,Mauritius,627.3833
🇦🇼,Aruba,599.6583
🇳🇷,Nauru,593.75
🇷🇼,Rwanda,576.3929
🇱🇧,Lebanon,564.3688
🇸🇲,San Marino,552.9918
🇳🇱,Netherlands,537.3326
🇧🇮,Burundi,527.5318
🇰🇷,Republic of Korea,523.0157
🇲🇫,Saint Martin,519.1415
🇧🇱,Saint Barthélemy,503.8636
🇮🇳,India,483.679000
🇰🇲,Comoros,456.9516
🇨🇼,Curaçao,437.3278
🇮🇱,Israel,427.6817
🇭🇹,Haiti,422.11900
🇧🇪,Belgium,386.845000
🇵🇭,Philippines,382.9707
🇵🇷,Puerto Rico,372.9892
🇱🇰,Sri Lanka,366.3443
🇷🇪,Reunion,349.9532
🇬🇩,Grenada,344.3559
🇯🇵,Japan,330.0505
🇹🇻,Tuvalu,327.1833
🇲🇶,Martinique,326.4165
🇵🇰,Pakistan,321.0675
🇻🇳,Vietnam,320.1956
🇬🇺,Guam,307.7754
🇸🇻,El Salvador,304.5185
🇰🇾,Cayman Islands,303.0622
🇹🇹,Trinidad and Tobago,292.9693
🇱🇨,Saint Lucia,291.0463
🇬🇧,United Kingdom,282.9475
🇸🇨,Seychelles,279.9792
🇰🇼,Kuwait,271.567000
🇬🇲,Gambia,266.5855
🇯🇲,Jamaica,262.2148
🇻🇨,Saint Vincent and the Grenadines,259.8013
🇶🇦,Qatar,257.1277
🇱🇺,Luxembourg,256.7946
🇻🇬,British Virgin Islands,253.1494
🇳🇬,Nigeria,250.2091
🇱🇮,Liechtenstein,247.4875
🇻🇮,United States Virgin Islands,244.86
🇺🇬,Uganda,243.51800
🇩🇪,Germany,242.5644
🇸🇹,Sao Tome and Principe,240.4911
🇦🇸,American Samoa,237.605000
🇩🇴,Dominican Republic,234.5484
🇬🇵,Guadeloupe,231.2755
🇲🇼,Malawi,223.205000
🇨🇭,Switzerland,221.8084
🇰🇵,Dem. People's Republic of Korea,219.4021
🇲🇭,Marshall Islands,215.7056
🇦🇬,Antigua and Barbuda,212.0807
🇳🇵,Nepal,201.7558
🇮🇹,Italy,201.0286
🇹🇰,Tokelau,199.7917
🇰🇮,Kiribati,182.5489
🇰🇳,Saint Kitts and Nevis,179.8385
🇦🇩,Andorra,172.034000
🇹🇬,Togo,171.0671
🇬🇹,Guatemala,169.1381
🇦🇮,Anguilla,163.75
🇹🇴,Tonga,160.9192
🇫🇲,Micronesia,160.9007
🇽🇰,Kosovo,155.8946
🇦🇪,United Arab Emirates,149.8378
🇬🇭,Ghana,148.4922
🇨🇳,China,148.1859
🇮🇩,Indonesia,147.1482
🇮🇲,Isle of Man,147.1425
🇨🇾,Cyprus,145.5601
🇹🇭,Thailand,140.3481
🇩🇰,Denmark,140.3061
🇨🇿,Czechia,140.0168
